trade_date,signal,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,max_favorable_points,max_adverse_points,bars_held,flip,pivot,r1,s1,level_source_date,stop_loss,take_profit,pullback_buffer,retest_buffer,trade_end_time,neutral_filter
2026-05-05,LONG_CONFIRM_V3,LONG,2026-05-05 12:20:00,41044.0,2026-05-05 12:25:00,41144.0,TAKE_PROFIT,100.0,109.0,6.0,1,41031.0,40757.3,41347.7,40440.7,2026-05-04,30,100,10,10,13:30,True
2026-05-05,LONG_CONFIRM_V3,LONG,2026-05-05 13:10:00,41051.0,2026-05-05 13:15:00,41021.0,STOP_LOSS,-30.0,5.0,40583.0,1,41031.0,40757.3,41347.7,40440.7,2026-05-04,30,100,10,10,13:30,True
2026-05-07,LONG_CONFIRM_V3,LONG,2026-05-07 11:40:00,42416.0,2026-05-07 11:45:00,42516.0,TAKE_PROFIT,100.0,114.0,28.0,1,41503.0,41515.3,41992.7,41025.7,2026-05-06,30,100,10,10,13:30,True
2026-05-08,SHORT_RETEST_FAIL_V3,SHORT,2026-05-08 10:00:00,42111.0,2026-05-08 10:05:00,42141.0,STOP_LOSS,-30.0,41983.0,654.0,1,42340.0,42271.0,42537.0,42074.0,2026-05-07,30,100,10,10,13:30,True
2026-05-12,SHORT_RETEST_FAIL_V3,SHORT,2026-05-12 09:35:00,41679.0,2026-05-12 09:40:00,41709.0,STOP_LOSS,-30.0,41538.0,721.0,1,41945.0,42001.7,42201.3,41745.3,2026-05-11,30,100,10,10,13:30,True
2026-05-12,SHORT_RETEST_FAIL_V3,SHORT,2026-05-12 10:20:00,41938.0,2026-05-12 10:25:00,41968.0,STOP_LOSS,-30.0,12.0,144.0,1,41945.0,42001.7,42201.3,41745.3,2026-05-11,30,100,10,10,13:30,True
2026-05-12,SHORT_RETEST_FAIL_V3,SHORT,2026-05-12 13:30:00,41780.0,2026-05-12 13:35:00,41810.0,STOP_LOSS,-30.0,41657.0,170.0,1,41945.0,42001.7,42201.3,41745.3,2026-05-11,30,100,10,10,13:30,True
