recommend_date,stock_id,grade,entry_mode,reason
2026-05-05,3033,A,BREAK_PREV_HIGH,NO_ENTRY_TRIGGER
2026-05-05,2303,B,BREAK_PREV_HIGH,NO_ENTRY_TRIGGER
2026-05-05,2344,B,BREAK_PREV_HIGH,NO_ENTRY_TRIGGER
2026-05-05,6274,B,BREAK_PREV_HIGH,NO_ENTRY_TRIGGER
